,Title,Calories,Fat (g),Carb. (g),Fiber (g),Protein,Sodium
0,Cool Lime Starbucks Refreshers™ Beverage,45.0,0.0,11,0,0,10
3,Strawberry Acai Starbucks Refreshers™ Beverage,80.0,0.0,18,1,0,10
4,Very Berry Hibiscus Starbucks Refreshers™ Beverage,60.0,0.0,14,1,0,10
8,Evolution Fresh™ Organic Ginger Limeade,110.0,0.0,28,0,0,5
9,Iced Coffee,0.0,0.0,0,0,0,0
11,Iced Espresso Classics - Vanilla Latte,130.0,2.5,21,0,5,65
12,Iced Espresso Classics - Caffe Mocha,140.0,2.5,23,0,5,90
13,Iced Espresso Classics - Caramel Macchiato,130.0,2.5,21,0,5,65
18,Shaken Sweet Tea,80.0,0.0,19,0,0,10
19,Tazo® Bottled Berry Blossom White,60.0,0.0,15,0,0,10
20,Tazo® Bottled Black Mango,150.0,0.0,38,0,0,15
21,Tazo® Bottled Black with Lemon,140.0,0.0,35,0,0,10
22,Tazo® Bottled Brambleberry,140.0,0.0,35,0,0,15
23,Tazo® Bottled Giant Peach,150.0,0.0,37,0,0,15
24,Tazo® Bottled Iced Passion,70.0,0.0,17,0,0,10
25,Tazo® Bottled Lemon Ginger,120.0,0.0,31,0,0,10
26,Tazo® Bottled Organic Black Lemonade,140.0,0.0,35,0,0,10
27,Tazo® Bottled Organic Iced Black Tea,60.0,0.0,15,0,0,10
28,Tazo® Bottled Organic Iced Green Tea,120.0,0.0,31,0,0,10
29,Tazo® Bottled Plum Pomegranate,140.0,0.0,35,0,0,10
30,Tazo® Bottled Tazoberry,150.0,0.0,38,0,0,15
31,Tazo® Bottled White Cranberry,140.0,0.0,35,0,0,10
32,Teavana® Shaken Iced Black Tea,30.0,0.0,8,0,0,5
33,Teavana® Shaken Iced Black Tea Lemonade,70.0,0.0,17,0,0,0
34,Teavana® Shaken Iced Green Tea,30.0,0.0,8,0,0,5
35,Teavana® Shaken Iced Green Tea Lemonade,70.0,0.0,17,0,0,5
36,Teavana® Shaken Iced Passion Tango™ Tea,30.0,0.0,8,0,0,5
37,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,90.0,0.0,24,0,0,0
38,Teavana® Shaken Iced Peach Green Tea,60.0,0.0,15,0,0,0
39,Iced Espresso Classics - Vanilla Latte,130.0,2.5,21,0,5,65
40,Iced Espresso Classics - Caffe Mocha,140.0,2.5,23,0,5,90
41,Iced Espresso Classics - Caramel Macchiato,130.0,2.5,21,0,5,65
55,Starbucks Refreshers™ Raspberry Pomegranate,90.0,0.0,27,0,0,0
56,Starbucks Refreshers™ Strawberry Lemonade,90.0,0.0,27,0,0,0
68,Starbucks® Doubleshot Protein Dark Chocolate,210.0,2.5,33,2,20,115
69,Starbucks® Doubleshot Protein Vanilla,200.0,2.5,34,2,20,120
71,Starbucks® Iced Coffee Caramel,60.0,0.0,13,0,1,0
72,Starbucks® Iced Coffee Light Sweetened,50.0,0.0,11,0,1,0
73,Starbucks® Iced Coffee Unsweetened,10.0,0.0,2,0,1,0
